latitude,longitude,Address,Hospital Type,Services Empanelled
14.433236,78.8644499,"Rims General Hospital,KADAPA, Y.S.R., ANDHRA PRADESH",Public,BLANK
13.740508,79.7205255,"Area Hospital - Sri Kalahasthi,CHITTOOR, CHITTOOR, ANDHRA PRADESH",Public,BLANK
15.468738,78.4838964,"District Hospital - Nandyal,KURNOOL, KURNOOL, ANDHRA PRADESH",Public,BLANK
15.6306963,77.2852467,"Area Hospital - Adoni,ADONI, KURNOOL, ANDHRA PRADESH",Public,BLANK
17.7673326,83.2198417,"Dr.R.S.P.R.Govt.Regional Eye Hospital,Opp.Dr.L.Bullayya College, Visakhapatnam-13, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
15.2190206,79.9130863,"Area Hospital kandukur,Area hospital, Knadukuru,Prakasam(dt), PRAKASAM, ANDHRA PRADESH",Public,BLANK
18.5658185,84.1963287,"Area hospital - Tekkali,Medical Officer,Community health centre,Tekkali,srikakulam(dt), SRIKAKULAM, ANDHRA PRADESH",Public,BLANK
15.5047375,80.0430474,"MCH ongole,Court Centre, Ongole,Prakasam (Dt), PRAKASAM, ANDHRA PRADESH",Public,BLANK
17.6894916,83.1358181,"Community Health Centre Agnampudi,Agnampudi,Visakhapatnam(dt), VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
15.6231383,77.2773917,"MCH HOSPITAL ADONI,ADONI, KURNOOL, ANDHRA PRADESH",Public,BLANK
15.7383087,79.270313,"Area hospital Markapur,Markapur, PRAKASAM, ANDHRA PRADESH",Public,BLANK
15.3781682,78.9310283,"Area Hospital Giddalur,Giddalur, PRAKASAM, ANDHRA PRADESH",Public,BLANK
16.3306809,80.4376937,"Govt Fever Hospital,Guntur, GUNTUR, ANDHRA PRADESH",Public,BLANK
17.4307284,81.7771195,"Area hospital - Rampachodavaram,Medical Superintendant, Areahospital, Rampachodavaram,East godavari, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
16.0187443,80.9127188,"Area hospital - Avanigadda,Area hospital , Avanigadda, Krishna ( Dt), KRISHNA, ANDHRA PRADESH",Public,BLANK
16.7722691,80.2871573,"Area hospital - Nandigama,Area hospital , nandigama, krishna (Dt), KRISHNA, ANDHRA PRADESH",Public,BLANK
16.4742974,81.8362768,"Area hospital - Razole,Area hospital, Razole,E.G(Dt), EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.1158079,81.2962044,"Area Hospital - Jangareddy gudem,Area hospital,Jangareddy gudem, West godavari, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.3549368,82.5412421,"Area hosptial - Tuni,APVVP Are hospital , Tuni, E.G(Dt), EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
18.11133,83.139038,"Area hospital - S.kota,Deputy civil surgeon,s.kota,vijayanagaram, VIZIANAGARAM, ANDHRA PRADESH",Public,BLANK
16.5923009,82.0232245,"Area hospital - Amalapuram,Medical Superintendent, Area hospital, Amalapuram, East Godavari (Dt)., EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
14.4722715,78.8225799,"Area Hospital - Pulivendula,CUDDAPAH, Y.S.R., ANDHRA PRADESH",Public,BLANK
13.5886682,79.31438,"Area Hospital - Chandragiri,Area hospital, Chandragiri, Chittoor, CHITTOOR, ANDHRA PRADESH",Public,BLANK
16.5197567,80.6529251,"Area Hospital - Gudivada,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Public,BLANK
14.7415479,78.5508728,"District Hospital - Proddutur,CUDDAPAH, Y.S.R., ANDHRA PRADESH",Public,BLANK
13.2090221,79.0915408,"CHC BANGARU PALYAM,7-12 M.B.T.ROAD, CHITTOOR, ANDHRA PRADESH",Public,BLANK
16.2149115,81.0778356,"CHC, Challapalli,Vijayawada Road, KRISHNA, ANDHRA PRADESH",Public,BLANK
16.2149115,81.0778356,"CHC, Guduru,Guduru, KRISHNA, ANDHRA PRADESH",Public,BLANK
16.895111,80.0987726,"CHC, Jaggaiahpeta,Kodad Road, KRISHNA, ANDHRA PRADESH",Public,BLANK
16.3806428,80.8516663,"CHC, Vuyyuru,Katuru Road, KRISHNA, ANDHRA PRADESH",Public,BLANK
17.3811965,82.3688042,"CHC, Tallarevu,2-250, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
16.8631391,81.9262424,"CHC, Mandapeta,Main Road (Beside Andhra Bank), EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.6988339,83.2981528,"Government Victoria Hospital,Ward No 24 Near Kanamahalakshmi Temple, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
17.2780975,82.1070954,"CHC, Yeleswaram,Main Road Yeleswaram, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
14.9102947,78.0056055,"Area HospitaL, Tadipatri,Tadipatri, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
14.5554712,77.1112115,"CHC,Kalyandurg,Kalyandurg, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
13.8325104,77.4923338,"District Hospital,Hindupur,Hindupur, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
15.7383087,79.270313,"Area Hospital,Markapur,Cumbam Road, PRAKASAM, ANDHRA PRADESH",Public,BLANK
13.664507,78.8021586,"CHC,KALIKIRI,ANR COLONY, CHITTOOR, ANDHRA PRADESH",Public,BLANK
13.4096553,79.1101402,"CHC,P.Kothakota,Main Road, CHITTOOR, ANDHRA PRADESH",Public,BLANK
13.8232463,78.4491517,"CHC,thamballapalle,thamballapalle, CHITTOOR, ANDHRA PRADESH",Public,BLANK
18.3235253,82.8784739,"Area Hospital,Araku,Araku, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
18.080639,82.6737348,"Area Hospital,Paderu,Main Road,paderu, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
18.2789077,83.3373056,"CHC,Gajapathinagaram,Main Road,Gajapathinagaram, VIZIANAGARAM, ANDHRA PRADESH",Public,BLANK
18.1115353,83.4137264,"MR.Government General Hospital,Vizianagaram,Vizianagaram, VIZIANAGARAM, ANDHRA PRADESH",Public,BLANK
16.2149115,81.0778356,"CHC,Vissannapeta,Chintakunta, KRISHNA, ANDHRA PRADESH",Public,BLANK
16.7894748,80.8429686,"Area Hospital - Nuzividu,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Public,BLANK
13.6384891,79.4028912,"Sri Balaji Institute of Surgery Research and Rehabilitation for disabledBIRRD Trust Hospital,TTD Tirupathi, CHITTOOR, ANDHRA PRADESH",Public,BLANK
16.2149115,81.0778356,"C.H.C - Challapalli,Vijayawada Road, KRISHNA, ANDHRA PRADESH",Public,BLANK
15.1003158,79.4121248,"CHC-Pamur,Near RTC Bus stand, PRAKASAM, ANDHRA PRADESH",Public,BLANK
16.5622679,79.3112466,"CHC-V.P.SOUTH,Vijaya puri south, GUNTUR, ANDHRA PRADESH",Public,BLANK
17.102462,81.542498,"CHC, GOPALAPURAM,GOPALAPURAM, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
16.435812,81.690371,"CHC,Narasapuram,Narasapuram, WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
18.0503548,83.5141145,"CHC,Chinamerangi,Main Road, VIZIANAGARAM, ANDHRA PRADESH",Public,BLANK
17.691108,83.115027,"HOMI BHABHA CANCER HOSPITAL & RESEARCH CENTRE,vizag, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
17.885936,83.0444345,"CHC, K.KOTAPADU,K.KOTAPADU, VISAKHAPATANAM, ANDHRA PRADESH",Public,BLANK
16.7385556,81.9214798,"CHC, KAPILESWARAPURAM,KAPILESWARAPURAM, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.079195,82.1364019,"AREA HOSPITAL, PEDDAPURAM,PEDDAPURAM, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.126163,82.2544057,"COMMUNITY HEALTH CENTER-PITAHAPURAM,Main Road Pithapuram, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.0586817,82.1670716,"COMMUNITY HEALTH CENTER-SAMALKOT,Pension Line, Samlkot, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.1834354,82.0624886,"COMMUNITY HEALTH CENTRE, JAGGAMPETA,6-198,Gurrampalem Road, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.6791762,81.958043,"COMMUNITY HEALTH CENTRE-PRATHIPADU,MAIN ROAD, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
16.3975785,81.8043799,"COMMUNITY HEALTH CENTER ROUTHULAPUDI,1-91/1, main road, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.6789979,81.9582073,"CHC Y RAMAVARAM,POLICE STATION ROAD, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
14.5554712,77.1112115,"CHC , KANEKAL,Main Bajar, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
15.1511502,77.3808429,"AREA HOSPITAL, GUNTAKAL,GUNTAKAL, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
14.057383,78.748683,"CHC-Rayachoty,Near Bus stand, Y.S.R., ANDHRA PRADESH",Public,BLANK
15.8165147,78.0382665,"Padmabhushan Dr.PSR Govt.Regional Eye Hospital,Kurnool, KURNOOL, ANDHRA PRADESH",Public,BLANK
17.2491351,81.6423054,"C.H.C.Polavaram,WEST GODAVARI, ANDHRA PRADESH",Public,BLANK
14.4124325,77.7202268,"CHC-Dharmavaram,Kalajyothi circle, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
17.3811965,82.3688042,"CHC-P.Gannavaram,Ice factory Road, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
17.6019068,81.2345989,"CHC-Kunavaram,Main Raod, EAST GODAVARI, ANDHRA PRADESH",Public,BLANK
15.680288,77.7611832,"CHC- Kodumur,Pathikonda Road, KURNOOL, ANDHRA PRADESH",Public,BLANK
16.0509347,78.9207897,"CHC- Midthur,MDO main Road, KURNOOL, ANDHRA PRADESH",Public,BLANK
16.3188714,80.425816,"CHC-P.V.Palem,opposite R Guesthouse, GUNTUR, ANDHRA PRADESH",Public,BLANK
15.1597076,77.3772776,"Area Hospital - Guntakal,ANANTAPUR, ANANTAPUR, ANDHRA PRADESH",Public,BLANK
16.8702347,81.9275387,"Sri Bikkina Nursing Home,MAIN ROAD; MANDAPETA-533308,E.G.Dt; A.P, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
12.7501742,78.3428004,"Sri Priya Nursing Home,A.P Vajravelu Chetty Street, Kuppam- 517425, Chittoor (Dt), CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
16.500866,80.6540221,"Trust Hospital,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
16.3036662,80.4412203,"Sri Sai Hospitals,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.296297,80.4361036,"Nandana Hospital,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
15.2190206,79.9130863,"Dr.Kota Reddy,Ongole,Prakasam, PRAKASAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.2983811,80.4544755,"Sri Ramachandra Childrens And Dental Hospital,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.7370995,81.1439996,"Alluri Sitarama Raju Academy Of Medical Sciences Asram Hospital,ELURU WEST GODAVARI DIST, WEST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
18.309004,83.8964289,"M S Baggu Sarojini Devi Hospital,2-2-131,ILLISIPURAM WEST,SRIKAKULAM,A.P.-532001, SRIKAKULAM, ANDHRA PRADESH",Private (For Profit),-NA-
13.6380046,79.4171787,"Sree Ramadevi Multy Speciality Hospital,T.S,82 SAIRAM STREET TIRUPATHI, CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
17.005954,81.78538,"Raju Neuro And Multispeciality Hospitals P Ltd,RAJAHMUNDRY, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
13.5546474,78.5073127,"Chandra Mohans Nursing Home,14.2/A CTM ROAD MADANAPALLI,TIRUPATHI, CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
16.9563089,82.2305938,"Haritha Hospitals,KAKINADA, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
16.5033168,80.6495384,"Pinnamaneni Institue Of Medical Sciences,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
17.0665153,81.8828986,"Gsl Medical College And Gsl General Hospital,RAJAHMUNDRY, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
13.6355449,79.4215771,"Sri Sai Sudha Hospital,TIRUPATHI, CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
16.5095466,80.6377573,"City Cancer Centre,D.NO.33-25-33,CH.VENKATA KRISHNAIAH STREET SURYARAOPET,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
16.757475,81.6813272,"Sudha Hospital Tanuku,21-1-4, OPP COOPERATIVE STORES, WEST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
17.0108325,81.7729215,"Royal Hospital,20-23-4, Aryapuram, Behind Nagadevi Theatre, Rajahmundry. 533104, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
16.5109466,80.6330416,"Andhra Health Diagnostic Services LimitedGlobal Vijayawada,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
16.9636003,82.2287071,"Sudha Urology And Andrology Hospital,KAKINADA, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
17.0148907,81.7769184,"Gsl Trust Cancer Hospital And Research Centre,RAJAHMUNDRY, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
16.5010874,80.6424894,"Usha Cardiac Centre Limited,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
17.0211429,81.7828793,"Goutami Eye Institute,1 R V Nagar, Korukonda Road,Rajahmundry 533105, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
17.0242826,82.2584115,"Sri Kiran Institute Of Ophthalmology,Penumarthi Road, Near Atchampeta Junction Kakinada, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
17.9216096,83.4262899,"Nri General Hospital,plot no 45,SANGIVALASA, BHEEMUNIPATNAM MANDALAM-PIN - 531162 Visakhapatnam, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
15.8357079,78.0422412,"G V R Children Hospital,43/48 2nd Lane, Kurnool., KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
16.9922178,81.7756688,"Aravindam Orthopdeics And Physiotherapy Centre,RAJAHMUNDRY, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
13.6364582,79.421471,"Om Hospital,10-13-486, REDDY & REDDY COLONY, TIRUPATHI, ANDHRA PRADESH, CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
18.1073477,83.4009263,"Tirumala Multi Speciality Hospitals (India )Pvt. Ltd., Vizianagaram,NEAR RTC COMPLEX VIZIANAGARAM, VIZIANAGARAM, ANDHRA PRADESH",Private (For Profit),-NA-
17.7289817,83.3057136,"Kala Hospitals P Ltd,DWARAKANAGAR VISAKHAPATNAM, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
15.8028834,78.047384,"Vijaya Hospital - Kurnool,KURNOOL, KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
16.5095125,80.6377427,"M V S Accident Hospital,D.NO:33-18-15, Near Puspha Hotel, Suryaraopet Vijayawada, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
17.7081494,83.3098237,"Surya Sri Hospital Private Ltd.,KRISHNA NAGAR,VIZAG, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.2966619,80.4408529,"St. Joseph,D.No. 27-1-12, Near Fly Over, Opp. A.C. College, GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.4135701,80.5556765,"Nri Academyof Sciences,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.2951163,80.4501725,"Balaji Cancer Care Centre,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
17.7444352,83.3083488,"Lions District 324 C1 Cancer Treatment And Research Center,VISHAKAPATNAM, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
15.4922086,78.4189913,"Shantiram Medical College General Hospital,NH-18,Nandyal Kurnool, KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
16.696268,81.094608,"Good Samaritan Cancer and General Hospital,VANGAYAGUDEM, ELURU - 534 001, WEST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
16.302678,80.441025,"Bmr Hospital,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
17.707198,83.3094804,"Vaishnavi Hospital,2 ND,LEFT LANE,COLLECTRATE OFFICE, BEACH ROAD, VIZAG-02, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
12.790709,78.364276,"Pes Institute Of Medical Sciences And Research Hospital,KUPPAM - 571 425, CHITTOOR DIST, ANDHRA PRADESH, CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
16.2971617,80.4495499,"Yerras Super Speciality Hospital,12-23-3,KOTHAPET GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.3024434,80.433976,"M N Hospital,5-37-77, 4/10,Brodipet Guntur, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.2969966,80.4479805,"Ent Nursing Home,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
17.7123509,83.3139235,"MyCure HospitalsA Unit of Sahrudaya Helath Care Private Limited,VISAKHAPATNAM, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
17.7202776,83.3126239,"Care Hospital,MAIN ROAD, VIZAG, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.5088633,80.6273907,"Help Hospitals Pvt Ltd,VIJAYAWADA, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
17.7273734,83.3048164,"Annapoorna Hopsital,47-9-32, 3rd Lane, Dwarakanagar,VISAKHAPATNAM, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.2256199,80.3080419,"Katuri Medical College And Hospital A unit of Vignan Educational Foundation,KATURI NAGAR, GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.5112549,80.6357297,"Heart Care Centre,Vijayawada, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
16.8138415,81.5212411,"Mother Vannini Hospital,KADAKATALA,TADEPALLIGUDEM, WEST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
14.6809002,77.5938723,"Aasha Hospital,7/201,court road,anantapur, ANANTAPUR, ANDHRA PRADESH",Private (For Profit),-NA-
15.8369569,78.026103,"Aayushman Hospital,45/142A1, Venkata Ramana Colony, KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
17.7404171,83.3080417,"Queens Nri Hospitals,GURUDWAARA ROAD, SEETHAMMADHARA, VIZAG-13, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.331178,80.48679,"Guntur Cancer Care Centre Limited,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
13.2827098,78.9556567,"Apollo Hospitals Enterprises Ltd- A,ARAGONDA, THAVANAMPALLI (M), CHITTOOR (DIST.), A.P., CHITTOOR, ANDHRA PRADESH",Private (For Profit),-NA-
14.6730399,77.6019394,"Pavani Multi Speciality Hospital,D.No. 12-3-195, 5th Cross,Sai Nagar,Anantapur, ANANTAPUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.3503112,80.4933055,"Sankar Eye Hospital,VJA-GNT EXPRESS HIGHWAY,PEDAKAKANI (PO&MDL) Guntur District, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.3079721,80.418911,"Hyma Hospital,Guntur, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.5923009,82.0232245,"Konaseema Institute Of Medical Science,AMALAPURAM, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
15.8245511,78.0410539,"Gowri Gopal Hospital,HANDRI RIVER,KURNOOL, KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
17.7663383,83.221285,"Shankar Foundation And Eye Institute,Visakhapatnam, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.9605545,82.2358552,"Samudra Healthcare Enterprises Ltd Apollo Hospital Kakinada,KAKINADA, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
16.2987656,80.4531407,"Peoples Trauma And Emergency Hospital,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
16.48726,80.684152,"Nagarjuna Hospital,7-70 , KANURU , VIJAYAWADA - 520007, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
17.70865,83.3109731,"Sagara Durga Hospital,15 - 13 - 6, KRISHNA NAGAR, MAHARANI PETA , Visakhapatnam, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.3002581,80.4498255,"Sri Lakshmi Maternity And Surgical Nursing Home,BESIDE SIVALAYAM, KOTHAPET, GUNTUR - 522001, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
17.0118475,81.7712929,"S.A.I. Hospitals,D.NO: 2-11-97, ARYAPURAM MIDDLE STREET, EAST GODAVARI, ANDHRA PRADESH",Private (For Profit),-NA-
16.2432306,80.6470728,"HEALTH HOSPITALSL.G Medical specialities,7-5-88/A, PRAKASAM ROAD, TENALI - 522201, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
17.7106867,83.3027422,"Vasugan Medical Specialities Pvt Ltd Indus Hospital-Vizag,VISHAKAPATNAM, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
18.107774,83.4013621,"Sri Sai Super Speciality Hospital-Vizianagaram,P.S.R.COMPLAX,LOWER TANK BUND ROAD, VIZIANAGARAM,08922221234, VIZIANAGARAM, ANDHRA PRADESH",Private (For Profit),-NA-
15.7439037,77.8812191,"Viswabharathi Cancer Hospital,SURVEY NO.630,R.T NAGAR, PENCHIKALAPADU(V), NEAR:K.NAGALAPURAM(P), BELLARY ROAD, KURNOOL- 518463, KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
16.298722,80.457731,"Aswini Hospital,GUNTUR, GUNTUR, ANDHRA PRADESH",Private (For Profit),-NA-
15.8236298,78.0413511,"OMNI Hospitals, a unit of Ms. Incor Padmachandra Hospitls Pvt. Ltd,Kurnool, KURNOOL, ANDHRA PRADESH",Private (For Profit),-NA-
17.7173026,83.3095681,"Sevenhills Hospitals Ltd,ROCKDALE LAYOUT, VIZAG, VISAKHAPATANAM, ANDHRA PRADESH",Private (For Profit),-NA-
16.5036502,80.64194,"V R L S Memorial Neuro Hospital,39-17-10/1A, Sivanandavari Street,Bundar Road,Vijayawada, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
14.460509,78.8237507,"Himalaya Multi Speciality Hospital,d.no1-81/1, teja enclave, RS Road, yerramujkkapally,kadapa.516004, Y.S.R., ANDHRA PRADESH",Private (For Profit),-NA-
16.5004291,80.6440385,"Prasanth Hospital,APSEB CITY CENTRAL COLONY, OFF.MG ROAD, LABBIPET Vijayawada, KRISHNA, ANDHRA PRADESH",Private (For Profit),-NA-
